Z	ion	IonizationEnergy	g	config
30	5	82.6	9	3p63d8
31	5	86.01	6	3d9
32	5	90.5	1	3d10
33	5	62.77	2	3d104s
34	5	68.3	1	3d104s2
35	5	59.595	2	4s24p
36	5	64.69	1	4s24p2
37	5	68.44	4	4s24p3
42	5	54.417	5	4p64d2
47	5	65	10	4d7
48	5	67.9	9	4d8
49	5	69.3	6	4d9
50	5	77.03	1	4d10
51	5	55	2	4d105s
52	5	59.3	1	5s2
53	5	51.52	2	5s25p
54	5	54.1	1	5s25p2
55	5	56	4	5s25p3
56	5	58	5	5s25p4
57	5	61.6	4	5s25p5
58	5	65.55	1	5p6
59	5	57.53	6	5p64f
60	5	60	9	4f25s25p6
61	5	61.7	10	4f35s25p6
62	5	62.7	9	4f45s25p6
63	5	63.2	6	4f55s25p6
64	5	64.8	1	4f65s25p6
65	5	66.5	8	4f75s25p6
66	5	62.1	13	4f85p6
67	5	63.9	16	4f95p6
68	5	65.1	17	4f105p6
69	5	65.4	16	4f115p6
70	5	65.6	13	4f125p6
71	5	66.8	8	4f13
72	5	68.37	1	4f14
73	5	48.272	4	5d
74	5	51.6	5	5d2
75	5	51.9	4	5d3
76	5	55	1	5d4
77	5	57	6	5d5
78	5	56	9	5d6
79	5	60	10	5d7
80	5	61.2	9	5d8
81	5	62.6	6	5d9
82	5	68.8	1	5d10
83	5	54.856	2	5d106s
84	5	57	1	6s2
85	5	50.39	2	6p
86	5	52.9	1	6p2
87	5	50	4	6p3
88	5	52.9	5	6p4
